model,split_seed,threshold,val_macro_f1,test_accuracy,test_roc_auc,test_macro_f1,test_macro_recall,test_recall_pos,test_brier,test_ece
zero_shot,0,0.45,0.797876914902026,0.6979314253329555,0.8958437271056774,0.6938941261095093,0.729353492737814,0.5100205367891792,0.20046795935716313,0.21832570942800472
zero_shot,1,0.25,0.7546417627316504,0.6208280903589191,0.8798567287401994,0.559479809553006,0.7412717881653983,0.9069563309194646,0.09897799448738691,0.17301665767871055
zero_shot,2,0.45,0.8206121564539344,0.5087320574162679,0.6249210614958361,0.42069549603559353,0.5738802325268034,0.4942430423054148,0.311691985645933,0.4240191387559808
zero_shot,3,0.45,0.7627118843772347,0.839920742517468,0.9086083014774229,0.8290506454788837,0.8276232113107127,0.7771649200220628,0.12020049014495776,0.05811346334341433
zero_shot,4,0.45,0.7642343740056583,0.7665732959850607,0.7676408561069468,0.7183926663244957,0.7113729085282561,0.8589874277947672,0.17537523342670405,0.08605275443510739
zero_shot,5,0.45,0.7647701082482525,0.6902313624678663,0.7445170086498345,0.6591893280007073,0.6889159817683859,0.6919490765644611,0.20960539845758355,0.1782904884318767
zero_shot,6,0.45,0.7841648403007712,0.6923295656501031,0.7902763045773455,0.6760981745638832,0.7270206535082714,0.6446578631452581,0.21194373356081608,0.21756948887467117
zero_shot,7,0.45,0.7658427296871007,0.851951096968682,0.8947321109984802,0.81138919182376,0.8342520837473051,0.7998619737750172,0.11824275665717635,0.11074359403784961
zero_shot,8,0.45,0.7376171901739708,0.8561277613620374,0.9330373990415269,0.8439613723790238,0.871648729275112,0.8295466228025085,0.12219466722949204,0.18486703250316594
zero_shot,9,0.45,0.7450027150804791,0.8423049032186088,0.9396471522059138,0.8423047776030993,0.8522273044501314,0.7598226878903889,0.1239920232052212,0.16981089976013836
