domain_bin,model,n,pos_rate,macro_f1,macro_recall,roc_auc,brier,ece
head (>=50),tfidf,9995,0.46983491745872935,0.5932306010569514,0.6402609674031261,0.8608198631544057,0.24954071914859244,0.12119388111658458
head (>=50),style,9995,0.46983491745872935,0.8395013660020542,0.8419383313942106,0.8983809101585494,0.12884559416770994,0.10500484233996285
head (>=50),combined,9995,0.46983491745872935,0.8467222431677597,0.8499800314288994,0.9135937343775768,0.13773489096728425,0.12062660956835039
tail (<=4),tfidf,411,0.5742092457420924,0.49106010268800965,0.5439830508474576,0.5729418886198547,0.2498339310383765,0.10015545893874658
tail (<=4),style,411,0.5742092457420924,0.4497156581272085,0.4826392251815981,0.48882566585956416,0.331927935373645,0.2956998176142698
tail (<=4),combined,411,0.5742092457420924,0.4414856539341665,0.48180387409200964,0.4956174334140435,0.375097221860435,0.34796943830622884
torso (5-49),tfidf,1233,0.6577453365774534,0.5108919356088217,0.5373639120856003,0.5491596589547747,0.249757935959181,0.15699179990189654
torso (5-49),style,1233,0.6577453365774534,0.5207375059144748,0.5338371678519878,0.5450660643638128,0.2710557638211958,0.20709509375045018
torso (5-49),combined,1233,0.6577453365774534,0.515385105659736,0.5330380257244873,0.560448454602299,0.3003205149306246,0.2702652851673313
